timestamp,meanLeft,meanRight,varS1,varS2,varS3,varS4,varS5,varS6,varS7,varS8,varS9,varS10,varS11,varS12,varS13,varS14,varS15,varS16
31473,1022,1022,1.0,0.96,0.96,0.94,0.94,0.96,0.98,0.94,0.96,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
31493,1022,1022,1.0,0.96,0.96,0.94,0.94,0.96,0.98,0.94,0.96,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
31513,1022,1022,1.0,0.98,0.96,0.94,0.94,0.96,0.98,0.94,0.96,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
31533,1022,1022,1.0,0.98,0.96,0.94,0.94,0.96,0.98,0.94,0.96,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
31553,1022,1022,1.0,0.96,0.96,0.94,0.94,0.94,0.98,0.94,0.96,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
31573,1022,1022,1.0,0.96,0.96,0.94,0.94,0.94,0.98,0.94,0.96,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
31593,1022,1022,1.0,0.96,0.96,0.94,0.94,0.94,0.98,0.94,0.96,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
31613,1022,1022,1.0,0.96,0.96,0.96,0.94,0.94,0.98,0.94,0.96,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
31633,1022,1022,1.0,0.96,0.96,0.96,0.94,0.94,0.98,0.94,0.96,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
31653,1022,1022,1.0,0.96,0.96,0.96,0.94,0.94,0.98,0.94,0.96,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
31673,1022,1022,1.0,0.96,0.96,0.96,0.94,0.94,0.98,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
31693,1022,1022,1.0,0.96,0.96,0.96,0.94,0.94,0.98,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
31714,1022,1022,1.0,0.96,0.96,0.96,0.94,0.94,0.98,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
31734,1022,1022,1.0,0.96,0.96,0.96,0.94,0.94,0.98,0.92,0.94,0.92,0.92,0.92,0.92,0.92,0.92,0.92,
31754,1022,1022,1.0,0.96,0.96,0.96,0.94,0.94,0.98,0.92,0.94,0.92,0.92,0.92,0.92,0.92,0.92,0.92,
31774,1022,1022,1.0,0.96,0.96,0.96,0.92,0.94,0.98,0.92,0.94,0.92,0.92,0.92,0.92,0.92,0.92,0.92,
31794,1022,1022,1.0,0.96,0.96,0.96,0.9,0.94,0.98,0.92,0.94,0.92,0.92,0.92,0.92,0.92,0.92,0.92,
31814,1022,1022,1.0,0.96,0.96,0.96,0.9,0.94,0.98,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
31834,1022,1022,1.0,0.96,0.98,0.96,0.9,0.94,0.98,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
31855,1022,1022,1.0,0.96,0.98,0.96,0.9,0.94,0.98,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
31875,1022,1022,1.0,0.96,0.96,0.96,0.9,0.94,0.98,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
31895,1022,1022,1.0,0.96,0.96,0.98,0.9,0.94,0.98,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
31916,1022,1022,1.0,0.96,0.96,0.98,0.9,0.94,0.98,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
31936,1022,1022,1.0,0.96,0.96,0.98,0.9,0.94,0.98,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
31956,1022,1022,1.0,0.96,0.96,1.0,0.9,0.94,0.98,0.96,0.94,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
31977,1022,1022,1.0,0.96,0.94,1.0,0.9,0.94,0.98,0.98,0.96,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
31997,1022,1022,1.0,0.96,0.94,1.0,0.9,0.94,0.98,0.98,0.94,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
32018,1022,1022,1.0,0.96,0.94,1.0,0.9,0.94,0.98,0.98,0.94,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
32038,1022,1022,1.0,0.96,0.94,1.0,0.9,0.94,0.98,0.98,0.94,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
32058,1022,1022,1.0,0.96,0.94,1.0,0.9,0.94,0.98,0.98,0.94,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
32079,1022,1022,1.0,0.96,0.94,1.0,0.9,0.94,0.98,0.98,0.94,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
32100,1022,1022,1.0,0.96,0.94,1.0,0.9,0.94,0.98,0.98,0.94,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
32120,1022,1022,1.0,0.96,0.94,1.0,0.9,0.96,0.98,0.98,0.94,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
32140,1022,1022,1.0,0.96,0.94,1.0,0.9,0.98,0.98,0.98,0.94,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
32160,1022,1022,1.0,0.94,0.94,1.0,0.92,0.98,0.98,0.98,0.94,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
32180,1022,1022,1.0,0.94,0.94,1.0,0.92,0.98,0.98,0.98,0.94,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
32200,1022,1022,1.0,0.94,0.94,1.0,0.92,0.98,0.98,0.98,0.94,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
32220,1022,1022,1.0,0.94,0.94,1.0,0.92,0.98,0.98,0.98,0.94,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
32240,1022,1022,1.0,0.94,0.94,1.0,0.92,0.98,0.98,0.98,0.94,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
32260,1022,1022,1.0,0.94,0.94,1.0,0.92,0.98,0.98,0.98,0.94,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
32281,1022,1022,1.0,0.94,0.94,1.0,0.92,0.98,0.98,0.98,0.94,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
32302,1022,1022,1.0,0.94,0.94,1.0,0.92,0.98,0.98,0.98,0.94,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
32322,1022,1022,1.0,0.94,0.94,1.0,0.92,0.98,0.98,0.98,0.96,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
32343,1022,1022,1.0,0.94,0.94,1.0,0.92,0.98,0.98,0.98,0.96,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
32363,1022,1022,1.0,0.94,0.94,1.0,0.92,0.98,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
32383,1022,1022,1.0,0.94,0.94,1.0,0.92,0.98,0.98,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
32403,1022,1022,1.0,0.94,0.94,1.0,0.92,0.98,0.98,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
32424,1022,1022,1.0,0.94,0.94,1.0,0.92,0.98,0.98,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
32444,1022,1022,1.0,0.96,0.94,1.0,0.92,0.98,0.98,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
32465,1022,1022,1.0,0.94,0.94,1.0,0.92,0.98,0.98,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
32485,1022,1022,1.0,0.92,0.94,1.0,0.92,0.98,0.98,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
32506,1022,1022,1.0,0.92,0.94,1.0,0.94,0.98,0.98,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
32526,1022,1022,1.0,0.92,0.94,0.98,0.96,0.98,0.98,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
32546,1022,1022,1.0,0.92,0.94,0.98,0.96,0.98,0.98,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
32566,1022,1022,1.0,0.94,0.94,0.98,0.96,1.0,0.98,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
32587,1022,1022,1.0,0.94,0.94,0.98,0.96,1.0,0.98,0.96,0.94,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
32607,1022,1022,1.0,0.94,0.92,0.98,0.96,1.0,0.98,0.96,0.94,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
32627,1022,1022,1.0,0.94,0.9,0.98,0.96,1.0,0.98,0.96,0.94,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
32647,1022,1022,1.0,0.94,0.9,0.98,0.96,1.0,0.96,0.96,0.94,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
32667,1022,1022,1.0,0.94,0.9,0.98,0.96,1.0,0.96,0.96,0.94,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
32687,1022,1022,1.0,0.94,0.9,0.98,0.96,1.0,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
32707,1022,1022,1.0,0.94,0.9,0.98,0.96,1.0,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
32727,1022,1022,1.0,0.94,0.9,0.98,0.96,1.0,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
32749,1022,1022,1.0,0.94,0.9,0.98,0.96,0.98,0.96,0.98,0.96,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
32770,1022,1022,1.0,0.94,0.9,0.98,0.96,0.98,0.96,0.98,0.96,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
32791,1022,1022,1.0,0.94,0.9,0.98,0.98,0.98,0.96,0.98,0.96,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
32812,1022,1022,1.0,0.94,0.9,0.98,1.0,0.98,0.96,0.98,0.96,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
32833,1022,1022,1.0,0.94,0.9,0.98,1.0,0.98,0.96,0.98,0.96,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
32854,1022,1022,1.0,0.94,0.9,0.98,1.0,0.98,0.96,0.98,0.96,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
32874,1022,1022,1.0,0.94,0.92,0.98,1.0,0.98,0.96,0.98,0.96,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
32895,1022,1022,1.0,0.94,0.94,0.98,1.0,0.98,0.96,0.98,0.96,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
32915,1022,1022,1.0,0.94,0.94,0.98,1.0,0.98,0.96,0.98,0.96,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
32935,1022,1022,1.0,0.94,0.94,0.98,1.0,0.98,0.96,0.98,0.94,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
32955,1022,1022,1.0,0.94,0.94,0.98,1.0,0.98,0.96,0.98,0.94,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
32975,1022,1022,1.0,0.94,0.94,0.98,1.0,0.98,0.96,0.98,0.94,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
32996,1022,1022,1.0,0.94,0.96,0.98,1.0,0.98,0.96,0.98,0.94,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
33017,1022,1022,1.0,0.94,0.96,0.98,1.0,0.96,0.96,0.98,0.96,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
33037,1022,1022,1.0,0.94,0.94,0.98,1.0,0.94,0.96,0.98,0.96,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
33057,1022,1022,1.0,0.94,0.94,0.98,1.0,0.94,0.96,0.98,0.96,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
33078,1022,1022,1.0,0.94,0.94,0.98,1.0,0.94,0.96,0.98,0.96,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
33100,1022,1022,1.0,0.94,0.94,0.98,1.0,0.94,0.96,0.98,0.96,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
33121,1022,1022,1.0,0.92,0.94,0.98,1.0,0.94,0.96,0.98,0.96,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
33142,1022,1022,1.0,0.9,0.94,0.98,1.0,0.94,0.96,0.98,0.94,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
33162,1022,1022,1.0,0.9,0.94,0.98,1.0,0.94,0.96,0.98,0.94,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
33182,1022,1022,1.0,0.92,0.94,0.98,1.0,0.94,0.96,0.98,0.94,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
33202,1022,1022,1.0,0.92,0.94,0.98,1.0,0.94,0.96,0.98,0.94,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
33223,1022,1022,1.0,0.92,0.94,0.96,1.0,0.94,0.96,0.98,0.94,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
33243,1022,1022,1.0,0.92,0.94,0.96,1.0,0.94,0.96,0.98,0.94,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
33263,1022,1022,1.0,0.92,0.94,0.96,1.0,0.94,0.96,0.98,0.94,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
33284,1022,1022,1.0,0.92,0.94,0.96,1.0,0.94,0.96,0.98,0.94,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
33304,1022,1022,1.0,0.92,0.94,0.96,1.0,0.94,0.96,0.98,0.94,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
33325,1022,1022,1.0,0.92,0.94,0.96,1.0,0.94,0.96,0.98,0.94,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
33345,1022,1022,1.0,0.92,0.94,0.96,1.0,0.94,0.96,0.96,0.94,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
33365,1022,1022,1.0,0.92,0.94,0.96,1.0,0.94,0.96,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
33386,1022,1022,1.0,0.92,0.92,0.96,1.0,0.92,0.98,0.96,0.94,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
33406,1022,1022,1.0,0.92,0.92,0.96,0.98,0.92,0.98,0.96,0.94,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
33427,1022,1022,1.0,0.92,0.92,0.96,0.98,0.92,0.98,0.96,0.94,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
33447,1022,1022,1.0,0.92,0.92,0.96,0.98,0.92,0.98,0.96,0.94,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
33467,1022,1022,1.0,0.92,0.92,0.96,0.98,0.92,0.98,0.96,0.94,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
