eventIndex,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,tapType
1,10.266336,9.653421,9.730036,10.0748005,9.653421,9.998186,9.768343,9.959879,10.036493,9.80665,9.998186,9.844957,9.998186,9.959879,9.998186,9.921572,9.921572,9.959879,9.921572,9.921572,notap
2,9.653421,9.730036,10.0748005,9.653421,9.998186,9.768343,9.959879,10.036493,9.80665,9.998186,9.844957,9.998186,9.959879,9.998186,9.921572,9.921572,9.959879,9.921572,9.921572,9.998186,notap
3,9.730036,10.0748005,9.653421,9.998186,9.768343,9.959879,10.036493,9.80665,9.998186,9.844957,9.998186,9.959879,9.998186,9.921572,9.921572,9.959879,9.921572,9.921572,9.998186,9.959879,notap
4,10.0748005,9.653421,9.998186,9.768343,9.959879,10.036493,9.80665,9.998186,9.844957,9.998186,9.959879,9.998186,9.921572,9.921572,9.959879,9.921572,9.921572,9.998186,9.959879,9.921572,notap
5,9.653421,9.998186,9.768343,9.959879,10.036493,9.80665,9.998186,9.844957,9.998186,9.959879,9.998186,9.921572,9.921572,9.959879,9.921572,9.921572,9.998186,9.959879,9.921572,9.921572,notap
6,9.998186,9.768343,9.959879,10.036493,9.80665,9.998186,9.844957,9.998186,9.959879,9.998186,9.921572,9.921572,9.959879,9.921572,9.921572,9.998186,9.959879,9.921572,9.921572,9.959879,notap
7,9.768343,9.959879,10.036493,9.80665,9.998186,9.844957,9.998186,9.959879,9.998186,9.921572,9.921572,9.959879,9.921572,9.921572,9.998186,9.959879,9.921572,9.921572,9.959879,9.959879,notap
8,9.959879,10.036493,9.80665,9.998186,9.844957,9.998186,9.959879,9.998186,9.921572,9.921572,9.959879,9.921572,9.921572,9.998186,9.959879,9.921572,9.921572,9.959879,9.959879,9.921572,notap
9,10.036493,9.80665,9.998186,9.844957,9.998186,9.959879,9.998186,9.921572,9.921572,9.959879,9.921572,9.921572,9.998186,9.959879,9.921572,9.921572,9.959879,9.959879,9.921572,9.959879,notap
10,9.80665,9.998186,9.844957,9.998186,9.959879,9.998186,9.921572,9.921572,9.959879,9.921572,9.921572,9.998186,9.959879,9.921572,9.921572,9.959879,9.959879,9.921572,9.959879,9.921572,notap
11,9.998186,9.844957,9.998186,9.959879,9.998186,9.921572,9.921572,9.959879,9.921572,9.921572,9.998186,9.959879,9.921572,9.921572,9.959879,9.959879,9.921572,9.959879,9.921572,9.959879,notap
12,9.844957,9.998186,9.959879,9.998186,9.921572,9.921572,9.959879,9.921572,9.921572,9.998186,9.959879,9.921572,9.921572,9.959879,9.959879,9.921572,9.959879,9.921572,9.959879,9.959879,notap
13,9.998186,9.959879,9.998186,9.921572,9.921572,9.959879,9.921572,9.921572,9.998186,9.959879,9.921572,9.921572,9.959879,9.959879,9.921572,9.959879,9.921572,9.959879,9.959879,9.921572,notap
14,9.959879,9.998186,9.921572,9.921572,9.959879,9.921572,9.921572,9.998186,9.959879,9.921572,9.921572,9.959879,9.959879,9.921572,9.959879,9.921572,9.959879,9.959879,9.921572,9.921572,notap
15,9.998186,9.921572,9.921572,9.959879,9.921572,9.921572,9.998186,9.959879,9.921572,9.921572,9.959879,9.959879,9.921572,9.959879,9.921572,9.959879,9.959879,9.921572,9.921572,9.921572,notap
16,9.921572,9.921572,9.959879,9.921572,9.921572,9.998186,9.959879,9.921572,9.921572,9.959879,9.959879,9.921572,9.959879,9.921572,9.959879,9.959879,9.921572,9.921572,9.921572,9.921572,notap
17,9.921572,9.959879,9.921572,9.921572,9.998186,9.959879,9.921572,9.921572,9.959879,9.959879,9.921572,9.959879,9.921572,9.959879,9.959879,9.921572,9.921572,9.921572,9.921572,10.151415,notap
18,9.959879,9.921572,9.921572,9.998186,9.959879,9.921572,9.921572,9.959879,9.959879,9.921572,9.959879,9.921572,9.959879,9.959879,9.921572,9.921572,9.921572,9.921572,10.151415,9.844957,notap
19,9.921572,9.921572,9.998186,9.959879,9.921572,9.921572,9.959879,9.959879,9.921572,9.959879,9.921572,9.959879,9.959879,9.921572,9.921572,9.921572,9.921572,10.151415,9.844957,9.921572,notap
20,9.921572,9.998186,9.959879,9.921572,9.921572,9.959879,9.959879,9.921572,9.959879,9.921572,9.959879,9.959879,9.921572,9.921572,9.921572,9.921572,10.151415,9.844957,9.921572,9.921572,notap
21,9.998186,9.959879,9.921572,9.921572,9.959879,9.959879,9.921572,9.959879,9.921572,9.959879,9.959879,9.921572,9.921572,9.921572,9.921572,10.151415,9.844957,9.921572,9.921572,9.959879,notap
22,9.959879,9.921572,9.921572,9.959879,9.959879,9.921572,9.959879,9.921572,9.959879,9.959879,9.921572,9.921572,9.921572,9.921572,10.151415,9.844957,9.921572,9.921572,9.959879,9.921572,notap
23,9.921572,9.921572,9.959879,9.959879,9.921572,9.959879,9.921572,9.959879,9.959879,9.921572,9.921572,9.921572,9.921572,10.151415,9.844957,9.921572,9.921572,9.959879,9.921572,9.959879,notap
24,9.921572,9.959879,9.959879,9.921572,9.959879,9.921572,9.959879,9.959879,9.921572,9.921572,9.921572,9.921572,10.151415,9.844957,9.921572,9.921572,9.959879,9.921572,9.959879,9.921572,notap
25,9.959879,9.959879,9.921572,9.959879,9.921572,9.959879,9.959879,9.921572,9.921572,9.921572,9.921572,10.151415,9.844957,9.921572,9.921572,9.959879,9.921572,9.959879,9.921572,9.959879,notap
26,9.959879,9.921572,9.959879,9.921572,9.959879,9.959879,9.921572,9.921572,9.921572,9.921572,10.151415,9.844957,9.921572,9.921572,9.959879,9.921572,9.959879,9.921572,9.959879,9.959879,notap
