@relation 8taps_temporal_analysis

@attribute 'x-axis mean' numeric
@attribute 'x-axis var' numeric
@attribute 'y-axis mean' numeric
@attribute 'y-axis var' numeric
@attribute 'z-axis mean' numeric
@attribute 'z-axis var' numeric
@attribute class {none,tap}

@data
0.049799,0.003243,0.333273,0.000308,9.864111,0.024433,none
0.047884,0.003357,0.333273,0.000308,9.86028,0.024565,none
0.042138,0.003214,0.333273,0.000308,9.846873,0.024282,none
0.038307,0.002935,0.335188,0.000275,9.835381,0.021553,none
0.034477,0.002627,0.337104,0.000235,9.827719,0.019,none
0.030646,0.002289,0.339019,0.000187,9.814312,0.01579,none
0.032561,0.002095,0.339019,0.000187,9.820058,0.014568,none
0.036392,0.001831,0.339019,0.000187,9.829635,0.013119,none
0.042138,0.0016,0.339019,0.000187,9.846873,0.010048,none
0.040223,0.00139,0.339019,0.000187,9.839211,0.008258,none
0.036392,0.001097,0.340934,0.000132,9.833465,0.007499,none
0.036392,0.001097,0.339019,0.000187,9.833465,0.007499,none
0.040223,0.000803,0.339019,0.000187,9.844957,0.004989,none
0.040223,0.000803,0.339019,0.000187,9.848788,0.004975,none
0.038307,0.000734,0.339019,0.000187,9.843042,0.004325,none
0.036392,0.000657,0.339019,0.000187,9.839211,0.004296,none
0.038307,0.000587,0.339019,0.000187,9.846873,0.003151,none
0.040223,0.00051,0.340934,0.000132,9.852619,0.002876,none
0.038307,0.00044,0.34285,0.00007,9.848788,0.002627,none
0.036392,0.000363,0.34285,0.00007,9.848788,0.002627,none
0.036392,0.000363,0.34285,0.00007,9.844957,0.002348,none
0.038307,0.000293,0.34285,0.00007,9.848788,0.002333,none
0.040223,0.000216,0.340934,0.000132,9.85645,0.001629,none
0.040223,0.000216,0.340934,0.000132,9.858365,0.001655,none
0.040223,0.000216,0.340934,0.000132,9.854534,0.001449,none
0.040223,0.000216,0.340934,0.000132,9.858365,0.001361,none
0.042138,0.000132,0.339019,0.000187,9.864111,0.000954,none
0.042138,0.000132,0.339019,0.000187,9.866026,0.00095,none
0.042138,0.000132,0.339019,0.000187,9.864111,0.000807,none
0.040223,0.00007,0.339019,0.000187,9.866026,0.00095,none
0.040223,0.00007,0.339019,0.000187,9.867942,0.000939,none
0.042138,0.000132,0.340934,0.000132,9.871773,0.000748,none
0.042138,0.000132,0.340934,0.000132,9.873688,0.000715,none
0.044053,0.000187,0.340934,0.000132,9.873688,0.000715,none
0.044053,0.000187,0.340934,0.000132,9.873688,0.000715,none
0.044053,0.000187,0.340934,0.000132,9.877519,0.000481,none
0.044053,0.000187,0.340934,0.000132,9.881349,0.00051,none
0.044053,0.000187,0.340934,0.000132,9.881349,0.00051,none
0.044053,0.000187,0.339019,0.000187,9.883265,0.00044,none
0.044053,0.000187,0.337104,0.000235,9.88135,0.000363,none
0.044053,0.000187,0.335188,0.000275,9.883265,0.000293,none
0.044053,0.000187,0.335188,0.000275,9.883265,0.000293,none
0.044053,0.000187,0.335188,0.000275,9.883265,0.000293,none
0.044053,0.000187,0.335188,0.000275,9.883265,0.000293,none
0.044053,0.000187,0.333273,0.000308,9.88518,0.000216,none
0.044053,0.000187,0.333273,0.000308,9.88518,0.000216,none
0.044053,0.000187,0.333273,0.000308,9.88518,0.000216,none
0.044053,0.000187,0.333273,0.000308,9.88518,0.000216,none
0.042138,0.000132,0.331358,0.000334,9.883265,0.000293,none
0.042138,0.000132,0.331358,0.000334,9.88135,0.000216,none
0.044053,0.000187,0.331358,0.000334,9.88135,0.000216,none
0.042138,0.000132,0.331358,0.000334,9.88135,0.000216,none
0.042138,0.000132,0.329442,0.000352,9.88135,0.000216,none
0.040223,0.00007,0.329442,0.000352,9.88135,0.000216,none
0.040223,0.00007,0.327527,0.000363,9.883265,0.000147,none
0.040223,0.00007,0.327527,0.000363,9.883265,0.000147,none
0.040223,0.00007,0.327527,0.000363,9.879434,0.000132,none
0.040223,0.00007,0.325611,0.000367,9.877519,0.000187,none
0.040223,0.00007,0.327527,0.000363,9.877519,0.000187,none
0.040223,0.00007,0.329442,0.000352,9.875603,0.000235,none
0.040223,0.00007,0.331358,0.000334,9.875603,0.000235,none
0.042138,0.000132,0.331358,0.000334,9.875603,0.000235,none
0.042138,0.000132,0.333273,0.000308,9.873688,0.000275,none
0.042138,0.000132,0.333273,0.000308,9.873688,0.000275,none
0.042138,0.000132,0.333273,0.000308,9.873688,0.000275,none
0.044053,0.000187,0.333273,0.000308,9.873688,0.000275,none
0.044053,0.000187,0.335188,0.000275,9.873688,0.000275,none
0.044053,0.000187,0.335188,0.000275,9.871773,0.000308,none
0.044053,0.000187,0.337104,0.000235,9.873688,0.000275,none
0.044053,0.000187,0.335188,0.000275,9.873688,0.000275,none
0.042138,0.000132,0.335188,0.000275,9.873688,0.000275,none
0.042138,0.000132,0.333273,0.000308,9.873688,0.000275,none
0.042138,0.000132,0.335188,0.000275,9.873688,0.000275,none
0.042138,0.000132,0.333273,0.000308,9.873688,0.000275,none
0.042138,0.000132,0.335188,0.000275,9.873688,0.000275,none
0.042138,0.000132,0.333273,0.000308,9.873688,0.000275,none
0.042138,0.000132,0.333273,0.000308,9.877519,0.000334,none
0.042138,0.000132,0.335188,0.000275,9.879434,0.000279,none
0.042138,0.000132,0.333273,0.000308,9.879434,0.000279,none
0.042138,0.000132,0.333273,0.000308,9.88135,0.000216,none
0.042138,0.000132,0.331358,0.000334,9.88135,0.000216,none
0.040223,0.00007,0.331358,0.000334,9.88135,0.000216,none
0.042138,0.000132,0.331358,0.000334,9.883265,0.000147,none
0.042138,0.000132,0.331358,0.000334,9.883265,0.000147,none
0.042138,0.000132,0.333273,0.000308,9.88518,0.000216,none
0.040223,0.00007,0.333273,0.000308,9.88518,0.000216,none
0.042138,0.000132,0.333273,0.000308,9.88518,0.000216,none
0.042138,0.000132,0.333273,0.000308,9.887096,0.000132,none
0.042138,0.000132,0.331358,0.000334,9.887096,0.000132,none
