timestamp,meanLeft,meanRight,varS1,varS2,varS3,varS4,varS5,varS6,varS7,varS8,varS9,varS10,varS11,varS12,varS13,varS14,varS15,varS16,class
24116,1022,1022,0.98,0.92,1,0.96,1,0.94,0.92,1,0.98,1,1,1,1,1,1,1,none
24136,1022,1022,0.98,0.92,1,0.96,1,0.94,0.92,1,0.98,1,1,1,1,1,1,1,none
24156,1022,1022,0.98,0.92,1,0.96,1,0.94,0.92,1,0.98,1,1,1,1,1,1,1,none
24177,1022,1022,0.98,0.92,0.98,0.96,1,0.96,0.92,1,0.98,1,1,1,1,1,1,1,none
24197,1022,1022,0.98,0.94,0.98,0.96,1,0.96,0.92,1,0.98,1,1,1,1,1,1,1,none
24217,1022,1022,0.96,0.96,0.98,0.96,1,0.96,0.92,1,0.98,1,1,1,1,1,1,1,none
24237,1022,1022,0.98,0.96,0.98,0.96,1,0.96,0.92,1,0.98,1,1,1,1,1,1,1,none
24257,1022,1022,0.98,0.96,0.98,0.96,1,0.96,0.92,1,0.98,1,1,1,1,1,1,1,none
24277,1022,1022,0.98,0.96,0.98,0.96,1,0.96,0.92,1,0.98,1,1,1,1,1,1,1,none
24297,1022,1022,0.98,0.96,0.98,0.94,1,0.96,0.92,1,0.98,1,1,1,1,1,1,1,none
24317,1022,1022,0.98,0.96,0.98,0.94,1,0.96,0.92,1,0.98,1,1,1,1,1,1,1,none
24337,1022,1022,0.98,0.96,0.98,0.94,1,0.96,0.92,1,0.98,1,1,1,1,1,1,1,none
24357,1022,1022,0.98,0.96,0.98,0.94,1,0.96,0.92,1,0.98,1,1,1,1,1,1,1,none
24377,1022,1022,0.98,0.96,0.98,0.94,1,0.96,0.92,1,1,1,1,1,1,1,1,1,none
24397,1022,1022,0.98,0.96,0.98,0.94,1,0.96,0.92,1,1,1,1,1,1,1,1,1,none
24417,1022,1022,0.98,0.96,0.98,0.94,1,0.96,0.92,1,1,1,1,1,1,1,1,1,none
24437,1022,1022,0.98,0.96,0.98,0.92,1,0.96,0.94,1,1,1,1,1,1,1,1,1,none
24458,1022,1022,0.98,0.96,0.98,0.92,1,0.96,0.94,1,1,1,1,1,1,1,1,1,none
24478,1022,1022,0.98,0.94,0.98,0.92,1,0.96,0.92,1,1,1,1,1,1,1,1,1,none
24499,1022,1022,0.98,0.96,0.98,0.92,1,0.96,0.92,1,1,1,1,1,1,1,1,1,none
24520,1022,1022,0.98,0.96,0.98,0.92,1,0.96,0.92,0.98,1,0.98,0.98,0.98,0.98,0.98,0.98,0.98,none
24541,1022,1022,0.98,0.96,0.98,0.92,1,0.96,0.92,0.98,1,0.98,0.98,0.98,0.98,0.98,0.98,0.98,none
24562,1022,1022,0.98,0.98,0.98,0.92,1,0.96,0.92,0.98,1,0.98,0.98,0.98,0.98,0.98,0.98,0.98,none
24582,1022,1022,0.98,0.98,0.98,0.92,1,0.96,0.92,0.98,1,0.98,0.98,0.98,0.98,0.98,0.98,0.98,none
24602,1022,1022,0.98,0.98,0.98,0.92,1,0.96,0.92,0.98,1,0.98,0.98,0.98,0.98,0.98,0.98,0.98,none
24622,1022,1022,0.98,0.98,0.98,0.92,1,0.96,0.92,0.98,1,0.98,0.98,0.98,0.98,0.98,0.98,0.98,none
24642,1022,1022,0.98,0.98,0.98,0.9,1,0.96,0.92,0.98,1,0.98,0.98,0.98,0.98,0.98,0.98,0.98,none
