timestamp,meanLeft,meanRight,varS1,varS2,varS3,varS4,varS5,varS6,varS7,varS8,varS9,varS10,varS11,varS12,varS13,varS14,varS15,varS16
11938,1022,1022,1.0,0.96,0.94,0.98,0.98,0.88,0.92,0.98,0.96,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
11958,1022,1022,1.0,0.96,0.94,0.98,0.98,0.88,0.92,0.98,0.96,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
11978,1022,1022,1.0,0.96,0.94,0.98,0.98,0.88,0.92,0.98,0.96,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
11998,1022,1022,1.0,0.96,0.94,0.98,0.98,0.88,0.92,0.98,0.96,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
12018,1022,1022,1.0,0.96,0.94,0.98,0.98,0.86,0.92,0.98,0.96,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
12038,1022,1022,1.0,0.98,0.94,0.98,0.98,0.86,0.92,0.98,0.96,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
12058,1022,1022,1.0,1.0,0.94,0.98,1.0,0.86,0.92,1.0,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
12078,1022,1022,1.0,1.0,0.94,0.98,1.0,0.86,0.92,1.0,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
12098,1022,1022,1.0,1.0,0.94,0.98,1.0,0.86,0.92,1.0,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
12118,1022,1022,1.0,1.0,0.94,0.98,1.0,0.86,0.92,1.0,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
12138,1022,1022,1.0,1.0,0.94,0.98,1.0,0.86,0.92,1.0,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
12158,1022,1022,1.0,1.0,0.94,0.98,1.0,0.86,0.92,1.0,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
12178,1022,1022,1.0,1.0,0.94,0.98,1.0,0.86,0.92,1.0,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
12198,1022,1022,1.0,1.0,0.94,0.98,1.0,0.86,0.92,1.0,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
12218,1022,1022,1.0,1.0,0.94,0.98,1.0,0.86,0.92,1.0,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
12238,1022,1022,1.0,1.0,0.94,0.98,1.0,0.86,0.92,1.0,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
12258,1022,1022,1.0,1.0,0.94,0.98,1.0,0.86,0.92,1.0,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
12279,1022,1022,1.0,1.0,0.94,0.98,1.0,0.86,0.94,1.0,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
12299,1022,1022,1.0,1.0,0.94,0.98,1.0,0.88,0.94,1.0,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
12319,1022,1022,1.0,1.0,0.94,0.98,1.0,0.9,0.92,1.0,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
12339,1022,1022,1.0,1.0,0.94,0.98,1.0,0.9,0.92,0.98,0.94,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
12360,1022,1022,1.0,1.0,0.94,0.98,1.0,0.88,0.92,0.98,0.92,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
12380,1022,1022,1.0,1.0,0.94,0.98,1.0,0.9,0.92,0.98,0.92,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
