timestamp,meanLeft,meanRight,varS1,varS2,varS3,varS4,varS5,varS6,varS7,varS8,varS9,varS10,varS11,varS12,varS13,varS14,varS15,varS16
6252,1022,1022,0.96,0.96,0.96,1.0,1.0,0.96,1.0,0.96,0.92,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
6272,1022,1022,0.96,0.96,0.96,1.0,1.0,0.96,1.0,0.96,0.92,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
6292,1022,1022,0.96,0.96,0.96,1.0,1.0,0.96,1.0,0.98,0.92,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
6312,1022,1022,0.96,0.96,0.96,1.0,1.0,0.96,1.0,0.98,0.92,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
6332,1022,1022,0.96,0.96,0.96,1.0,1.0,0.96,1.0,0.98,0.92,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
6352,1022,1022,0.96,0.96,0.96,1.0,1.0,0.96,1.0,0.98,0.92,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
6372,1022,1022,0.96,0.96,0.96,1.0,1.0,0.96,1.0,0.98,0.92,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
6392,1022,1022,0.96,0.96,0.96,1.0,1.0,0.96,0.98,0.98,0.92,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
6412,1022,1022,0.96,0.96,0.96,1.0,1.0,0.96,0.96,0.96,0.92,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
6432,1022,1022,0.96,0.96,0.96,1.0,1.0,0.94,0.96,0.96,0.92,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
6453,1022,1022,0.96,0.94,0.96,1.0,1.0,0.94,0.96,0.96,0.92,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
6473,1022,1022,0.96,0.94,0.96,1.0,1.0,0.94,0.96,0.96,0.92,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
6493,1022,1022,0.96,0.94,0.96,1.0,1.0,0.94,0.96,0.96,0.92,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
6513,1022,1022,0.96,0.94,0.96,1.0,1.0,0.94,0.96,0.96,0.92,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
6533,1022,1022,0.96,0.94,0.96,1.96,39.7,0.94,32.94,0.96,0.92,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
6553,1021,1022,3.88,31.12,3.88,185.06,206.44,3.82,366.96,3.88,0.92,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
6573,1019,1021,15.72,1115.92,15.72,1468.52,663.1,15.58,984.24,15.72,3.82,3.88,3.88,3.88,3.88,3.88,3.88,3.88,
6593,1016,1019,48.48,3253.16,48.48,3893.12,1663.48,47.96,2097.16,47.82,15.72,15.42,15.42,15.42,15.42,15.42,15.42,15.42,
6613,1013,1017,99.24,7260.74,99.24,6866.84,3162.1,98.48,3791.38,197.04,35.56,146.8,146.8,146.8,146.8,146.8,146.8,146.8,
6634,1008,1014,223.84,12637.62,223.84,10342.72,5055.22,222.68,6043.68,654.12,80.32,566.28,566.28,566.28,566.28,566.28,566.28,566.28,
6654,1003,1010,398.44,18599.0,398.44,14053.34,7239.72,396.88,8565.9,1312.24,168.0,1198.28,1198.28,1198.28,1198.28,1198.28,1198.28,1198.28,
6675,998,1006,623.04,25103.1,623.04,17578.46,9688.94,621.08,11400.12,2314.76,284.32,2187.4,2187.4,2187.4,2187.4,2187.4,2187.4,2187.4,
6695,992,1002,958.56,31736.62,939.36,20681.1,12339.26,956.12,14637.24,3735.08,429.1,3588.68,3588.68,3588.68,3588.68,3588.68,3588.68,3588.68,
6715,986,997,1366.08,38499.08,1436.64,23774.46,15016.46,1363.16,18032.76,5297.5,650.38,5147.9,5147.9,5147.9,5147.9,5147.9,5147.9,5147.9,
6735,980,992,1845.6,45004.04,1925.58,26772.84,17507.9,1842.2,21145.72,6848.62,899.48,6701.26,6701.26,6701.26,6701.26,6701.26,6701.26,6701.26,
6755,975,988,2300.2,50838.48,2303.58,29507.94,19761.04,2296.4,23978.16,8229.12,1120.12,8109.0,8109.0,8109.0,8109.0,8109.0,8109.0,8109.0,
6776,970,983,2804.8,55471.38,2753.98,31993.76,21648.84,2800.6,26425.06,9330.66,1463.14,9225.62,9225.62,9225.62,9225.62,9225.62,9225.62,9225.62,
6796,965,980,3359.4,57987.3,3254.38,34193.8,22906.64,3354.8,28249.4,9925.16,1693.78,9816.56,9816.56,9816.56,9816.56,9816.56,9816.56,9816.56,
6816,962,977,3716.16,58152.66,3578.62,36175.18,23565.54,3711.32,29430.54,10038.96,1942.42,9921.96,9921.96,9921.96,9921.96,9921.96,9921.96,9921.96,
6836,960,976,3964.0,57855.04,3804.78,37482.14,23490.88,3959.0,29944.7,10044.46,2029.3,9885.1,9885.1,9885.1,9885.1,9885.1,9885.1,9885.1,
6857,959,975,4090.92,57719.4,3920.86,37605.52,23372.78,4085.84,30063.04,10071.42,2118.18,9880.06,9880.06,9880.06,9880.06,9880.06,9880.06,9880.06,
6879,959,975,4090.92,57719.4,3920.86,37605.52,23372.78,4085.84,29999.12,10071.42,2118.18,9880.06,9880.06,9880.06,9880.06,9880.06,9880.06,9880.06,
6899,958,975,4219.84,57585.76,4038.94,37492.76,23315.58,4214.68,29836.1,10100.38,2118.18,9880.06,9880.06,9880.06,9880.06,9880.06,9880.06,9880.06,
6919,958,975,4219.84,57585.76,4038.94,37492.76,23315.58,4214.68,29836.1,10100.38,2116.28,9880.06,9880.06,9880.06,9880.06,9880.06,9880.06,9880.06,
6939,958,975,4219.84,57585.76,4038.94,37492.76,23315.58,4214.68,29836.1,10100.38,2118.18,9880.06,9880.06,9880.06,9880.06,9880.06,9880.06,9880.06,
6959,958,975,4219.84,57585.76,4038.94,37492.76,23315.58,4214.68,29836.1,10100.38,2118.18,9880.06,9880.06,9880.06,9880.06,9880.06,9880.06,9880.06,
6981,958,975,4219.84,57585.76,4038.94,37492.76,23315.58,4214.68,29836.1,10100.38,2118.18,9880.06,9880.06,9880.06,9880.06,9880.06,9880.06,9880.06,
7001,958,975,4219.84,57585.76,4038.94,37492.76,23315.58,4214.68,29836.1,10100.38,2118.18,9880.06,9880.06,9880.06,9880.06,9880.06,9880.06,9880.06,
7021,958,975,4219.84,57585.76,4038.94,37492.76,23315.58,4214.68,29836.1,10100.38,2118.18,9880.06,9880.06,9880.06,9880.06,9880.06,9880.06,9880.06,
7041,958,975,4219.84,57585.76,4038.94,37492.76,23315.58,4214.68,29836.1,10097.8,2118.18,9878.16,9878.16,9878.16,9878.16,9878.16,9878.16,9878.16,
7062,958,975,4219.84,57585.76,4038.94,37492.76,23315.58,4214.68,29836.1,10097.8,2118.18,9878.16,9878.16,9878.16,9878.16,9878.16,9878.16,9878.16,
7082,958,975,4219.84,57583.18,4038.94,37492.76,23315.58,4217.26,29836.1,10097.8,2118.18,9878.16,9878.16,9878.16,9878.16,9878.16,9878.16,9878.16,
7103,958,975,4219.84,57580.6,4041.52,37492.76,23315.58,4219.84,29836.1,10097.8,2118.18,9878.16,9878.16,9878.16,9878.16,9878.16,9878.16,9878.16,
7124,958,975,4219.84,57580.6,4041.52,37492.76,23315.58,4219.84,29836.1,10097.8,2118.18,9878.16,9878.16,9878.16,9878.16,9878.16,9878.16,9878.16,
7144,958,975,4219.84,57580.6,4041.52,37492.76,23315.58,4219.84,29836.1,10097.8,2118.18,9878.16,9878.16,9878.16,9878.16,9878.16,9878.16,9878.16,
7164,958,975,4219.84,57583.18,4044.1,37492.76,23315.58,4219.84,29836.1,10097.8,2118.18,9878.16,9878.16,9878.16,9878.16,9878.16,9878.16,9878.16,
7185,958,975,4219.84,57585.76,4044.1,37492.76,23315.58,4219.84,29836.1,10097.8,2118.18,9878.16,9878.16,9878.16,9878.16,9878.16,9878.16,9878.16,
7205,958,975,4222.42,57585.76,4044.1,37490.18,23315.58,4219.84,29836.1,10097.8,2118.18,9878.16,9878.16,9878.16,9878.16,9878.16,9878.16,9878.16,
7225,958,975,4225.0,57585.76,4044.1,37490.18,23315.58,4219.84,29836.1,10097.8,2118.18,9878.16,9878.16,9878.16,9878.16,9878.16,9878.16,9878.16,
7245,958,975,4225.0,57585.76,4044.1,37490.18,23315.58,4219.84,29836.1,10097.8,2118.18,9878.16,9878.16,9878.16,9878.16,9878.16,9878.16,9878.16,
7265,958,975,4225.0,57585.76,4044.1,37490.18,23315.58,4219.84,29836.1,10097.8,2118.18,9878.16,9878.16,9878.16,9878.16,9878.16,9878.16,9878.16,
7285,958,975,4225.0,57585.76,4044.1,37490.18,23315.58,4219.84,29836.1,10097.8,2120.08,9878.16,9878.16,9878.16,9878.16,9878.16,9878.16,9878.16,
7306,958,975,4225.0,57585.76,4044.1,37490.18,23315.58,4219.84,29836.1,10097.8,2120.08,9878.16,9878.16,9878.16,9878.16,9878.16,9878.16,9878.16,
7327,958,975,4225.0,57585.76,4044.1,37490.18,23315.58,4219.84,29836.1,10097.8,2120.08,9878.16,9878.16,9878.16,9878.16,9878.16,9878.16,9878.16,
7347,958,975,4225.0,57585.76,4044.1,37490.18,23315.58,4219.84,29836.1,10097.8,2120.08,9878.16,9878.16,9878.16,9878.16,9878.16,9878.16,9878.16,
7368,958,975,4225.0,57585.76,4044.1,37490.18,23315.58,4219.84,29836.1,10097.8,2120.08,9878.16,9878.16,9878.16,9878.16,9878.16,9878.16,9878.16,
7388,958,975,4225.0,57585.76,4044.1,37490.18,23315.58,4219.84,29836.1,10095.22,2120.08,9876.26,9876.26,9876.26,9876.26,9876.26,9876.26,9876.26,
7408,958,975,4225.0,57585.76,4044.1,37490.18,23315.58,4217.26,29838.68,10092.64,2120.08,9874.36,9874.36,9874.36,9874.36,9874.36,9874.36,9874.36,
7429,958,975,4225.0,57585.76,4044.1,37490.18,23315.58,4214.68,29841.26,10095.22,2120.08,9876.26,9876.26,9876.26,9876.26,9876.26,9876.26,9876.26,
7449,958,975,4225.0,57583.18,4044.1,37487.6,23315.58,4217.26,29841.26,10095.22,2120.08,9876.26,9876.26,9876.26,9876.26,9876.26,9876.26,9876.26,
7469,958,975,4225.0,57585.76,4044.1,37485.02,23315.58,4217.26,29841.26,10095.22,2120.08,9876.26,9876.26,9876.26,9876.26,9876.26,9876.26,9876.26,
7490,958,975,4225.0,57585.76,4044.1,37485.02,23315.58,4217.26,29841.26,10095.22,2120.08,9876.26,9876.26,9876.26,9876.26,9876.26,9876.26,9876.26,
7511,958,975,4225.0,57585.76,4044.1,37485.02,23315.58,4217.26,29841.26,10095.22,2120.08,9876.26,9876.26,9876.26,9876.26,9876.26,9876.26,9876.26,
7532,958,975,4225.0,57585.76,4044.1,37485.02,23315.58,4217.26,29841.26,10095.22,2120.08,9876.26,9876.26,9876.26,9876.26,9876.26,9876.26,9876.26,
7552,959,975,4096.0,57719.4,3925.94,37617.1,23447.48,4088.38,30006.12,10066.34,2120.08,9876.26,9876.26,9876.26,9876.26,9876.26,9876.26,9876.26,
7573,960,975,3969.0,57922.9,3809.78,37787.92,23566.26,3961.5,30086.9,10039.46,2120.08,9876.26,9876.26,9876.26,9876.26,9876.26,9876.26,9876.26,
7594,962,976,3721.0,57658.98,3583.46,37321.38,23577.32,3713.74,30061.38,9991.7,2031.16,9881.38,9881.38,9881.38,9881.38,9881.38,9881.38,9881.38,
7614,965,978,3364.0,56600.66,3258.98,35937.78,23212.46,3359.4,29705.06,9941.84,1859.32,9902.84,9902.84,9902.84,9902.84,9902.84,9902.84,9902.84,
7634,968,981,3025.0,53772.68,2952.5,33945.78,22371.68,3020.64,28792.52,9949.82,1616.56,9946.7,9946.7,9946.7,9946.7,9946.7,9946.7,9946.7,
7654,973,984,2500.0,49634.4,2481.7,31446.1,21142.36,2496.04,27389.82,9766.54,1391.8,9786.78,9786.78,9786.78,9786.78,9786.78,9786.78,9786.78,
7674,978,987,2025.0,44616.22,2060.9,28482.28,19489.86,2021.44,25559.2,9399.82,1185.04,9422.14,9422.14,9422.14,9422.14,9422.14,9422.14,9422.14,
7695,983,991,1600.0,38716.12,1690.1,25434.96,17404.24,1596.84,23228.58,8671.5,944.32,8688.46,8688.46,8688.46,8688.46,8688.46,8688.46,8688.46,
7716,989,996,1156.0,32288.04,1334.18,22543.52,14913.52,1153.32,20290.26,7465.26,692.38,7478.14,7478.14,7478.14,7478.14,7478.14,7478.14,7478.14,
7736,995,1001,784.0,25272.5,880.34,19378.16,12148.48,781.8,16904.82,5984.46,468.14,5989.02,5989.02,5989.02,5989.02,5989.02,5989.02,5989.02,
7756,1000,1005,529.0,18017.3,519.4,15972.94,9301.88,527.2,13467.78,4369.34,318.12,4356.54,4356.54,4356.54,4356.54,4356.54,4356.54,4356.54,
7777,1006,1010,289.0,11155.46,289.0,12679.12,6522.62,287.68,10139.22,2752.64,168.0,2738.24,2738.24,2738.24,2738.24,2738.24,2738.24,2738.24,
7797,1011,1014,144.0,5151.7,144.0,9350.58,3903.42,143.08,6929.12,1316.74,80.66,1299.46,1299.46,1299.46,1299.46,1299.46,1299.46,1299.46,
7818,1016,1018,49.0,1131.86,49.0,6083.86,1799.98,48.48,4175.02,383.0,24.82,371.8,371.8,371.8,371.8,371.8,371.8,371.8,
7839,1019,1020,16.0,15.62,16.0,3011.44,394.44,15.72,2112.12,21.04,8.9,15.0,15.0,15.0,15.0,15.0,15.0,15.0,
7859,1021,1022,4.0,3.76,4.0,703.12,20.74,3.88,855.64,3.82,0.98,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
7880,1022,1022,1.0,0.92,1.0,0.94,1.0,0.96,202.82,0.94,0.98,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
7900,1022,1022,1.0,0.92,1.0,0.94,1.0,0.96,29.86,0.94,0.98,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
7920,1022,1022,1.0,0.92,1.0,0.94,1.0,0.96,1.0,0.94,0.98,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
7940,1022,1022,1.0,0.92,1.0,0.94,1.0,0.96,1.0,0.94,1.0,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
7961,1022,1022,1.0,0.92,1.0,0.94,1.0,0.96,1.0,0.94,1.0,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
7981,1022,1022,1.0,0.92,1.0,0.94,1.0,0.96,1.0,0.94,1.0,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
8001,1022,1022,1.0,0.92,1.0,0.94,1.0,0.96,1.0,0.94,1.0,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
8021,1022,1022,1.0,0.92,1.0,0.94,1.0,0.96,1.0,0.94,1.0,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
8042,1022,1022,1.0,0.92,1.0,0.94,1.0,0.96,1.0,0.94,1.0,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
8062,1022,1022,1.0,0.92,1.0,0.94,1.0,0.96,1.0,0.96,1.0,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
8083,1022,1022,1.0,0.92,1.0,0.94,1.0,0.96,1.0,0.96,1.0,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
8104,1022,1022,1.0,0.94,1.0,0.94,1.0,0.96,1.0,0.96,1.0,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
8124,1022,1022,1.0,0.96,1.0,0.94,1.0,0.96,1.0,0.96,1.0,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
8144,1022,1022,1.0,0.94,1.0,0.94,1.0,0.96,1.0,0.96,1.0,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
8164,1022,1022,1.0,0.94,1.0,0.94,1.0,0.96,1.0,0.96,1.0,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
8185,1022,1022,1.0,0.94,1.0,0.94,1.0,0.96,1.0,0.96,1.0,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
8207,1022,1022,1.0,0.94,1.0,0.94,1.0,0.96,1.0,0.96,1.0,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
8227,1022,1022,1.0,0.94,1.0,0.96,1.0,0.96,1.0,0.96,1.0,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
8247,1022,1022,1.0,0.94,1.0,0.96,1.0,0.96,1.0,0.96,1.0,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
8268,1022,1022,0.98,0.94,1.0,0.96,1.0,0.96,1.0,0.96,1.0,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
8288,1022,1022,0.98,0.94,1.0,0.96,1.0,0.96,1.0,0.96,1.0,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
8309,1022,1022,0.98,0.94,1.0,0.96,1.0,0.96,1.0,0.96,1.0,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
8329,1022,1022,0.98,0.94,1.0,0.96,1.0,0.96,1.0,0.96,1.0,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
8350,1022,1022,0.98,0.94,0.98,0.96,1.0,0.96,1.0,0.96,1.0,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
8371,1022,1022,0.98,0.94,0.98,0.96,1.0,0.96,1.0,0.96,1.0,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
