@relation Combined_train

@attribute var_x numeric
@attribute 'delta var_x' numeric
@attribute mean_x numeric
@attribute var_y numeric
@attribute 'delta var_y' numeric
@attribute mean_y numeric
@attribute var_z numeric
@attribute 'delta var_z' numeric
@attribute mean_z numeric
@attribute class {none,motion,tap}

@data
0.024873,0,1.16837,0.003654,0,5.328535,0.006677,0,8.408437,none
0.023813,-0.00106,1.135809,0.003709,0.000055,5.330451,0.005151,-0.001526,8.416098,none
0.025867,0.002054,1.116656,0.003522,-0.000187,5.324705,0.005264,0.000114,8.418013,none
0.027749,0.001882,1.099417,0.002876,-0.000646,5.317043,0.004766,-0.000499,8.425675,none
0.026942,-0.000807,1.080264,0.00292,0.000044,5.320874,0.004472,-0.000293,8.429506,none
0.030743,0.003801,1.053449,0.004032,0.001112,5.32662,0.003757,-0.000715,8.435252,none
0.03432,0.003577,1.024718,0.004296,0.000264,5.330451,0.003757,0,8.435252,none
0.033351,-0.000969,1.001734,0.004296,0,5.330451,0.00365,-0.000106,8.437167,none
0.037049,0.003698,0.974919,0.003947,-0.000349,5.328535,0.00365,0,8.437167,none
0.031711,-0.005338,0.946189,0.003738,-0.000209,5.32662,0.002271,-0.001379,8.444829,none
0.025134,-0.006578,0.92512,0.003738,0,5.322789,0.002275,0.000004,8.446744,none
0.026983,0.001849,0.890643,0.004325,0.000587,5.32662,0.002407,0.000132,8.450575,none
0.020614,-0.006369,0.863828,0.004824,0.000499,5.334281,0.002568,0.000161,8.446744,none
0.021025,0.000411,0.848505,0.004564,-0.00026,5.336197,0.003287,0.000719,8.450575,none
0.029829,0.008805,0.817859,0.007172,0.002608,5.353435,0.005224,0.001937,8.458236,none
0.06948,0.03965,0.764229,0.013042,0.00587,5.372589,0.011387,0.006163,8.435252,none
0.083219,0.013739,0.777637,0.013119,0.000077,5.385996,0.015716,0.004329,8.416098,none
0.124894,0.041675,0.815944,0.034177,0.021058,5.359181,0.024253,0.008537,8.440998,none
0.217809,0.092915,0.87532,0.114475,0.080299,5.29789,0.027309,0.003056,8.454405,motion
0.218249,0.00044,0.867659,0.11518,0.000704,5.290228,0.036187,0.008878,8.473559,motion
0.232531,0.014282,0.835098,0.116236,0.001057,5.29789,0.036081,-0.000106,8.475474,motion
0.234864,0.002333,0.823605,0.117014,0.000778,5.30172,0.036081,0,8.475474,motion
0.24226,0.007396,0.800621,0.11741,0.000396,5.29789,0.036598,0.000517,8.48122,motion
0.247305,0.005044,0.779552,0.122223,0.004813,5.282567,0.038047,0.001449,8.490797,motion
0.248919,0.001614,0.760398,0.122884,0.00066,5.271074,0.038194,0.000147,8.498459,motion
0.260453,0.011534,0.737414,0.120829,-0.002054,5.263413,0.038194,0,8.498459,motion
0.266381,0.005928,0.722091,0.119831,-0.000998,5.255752,0.037636,-0.000558,8.50612,motion
0.277332,0.010951,0.693361,0.119288,-0.000543,5.251921,0.037313,-0.000323,8.509951,motion
0.287542,0.01021,0.672292,0.118199,-0.00109,5.246175,0.036921,-0.000393,8.511866,motion
0.289127,0.001585,0.656969,0.117524,-0.000675,5.238513,0.03658,-0.000341,8.517612,motion
0.308673,0.019546,0.611,0.120184,0.00266,5.24809,0.037255,0.000675,8.513781,motion
0.310933,0.00226,0.603339,0.118291,-0.001893,5.236598,0.037288,0.000033,8.515697,motion
0.317918,0.006985,0.576524,0.116295,-0.001996,5.228937,0.036462,-0.000825,8.521443,motion
0.32159,0.003672,0.555455,0.116144,-0.00015,5.227021,0.036668,0.000205,8.513781,motion
0.326635,0.005044,0.545878,0.110245,-0.005899,5.215529,0.035875,-0.000792,8.502289,motion
0.303977,-0.022657,0.576524,0.098333,-0.011912,5.182968,0.026766,-0.009109,8.527189,none
0.26735,-0.036627,0.526724,0.094122,-0.004212,5.156153,0.019722,-0.007044,8.557835,none
0.191927,-0.075423,0.463517,0.084965,-0.009157,5.171476,0.017004,-0.002718,8.552089,none
0.029976,-0.161951,0.377326,0.020174,-0.064791,5.227021,0.01598,-0.001024,8.546343,none
0.022052,-0.007924,0.358173,0.020852,0.000679,5.236598,0.010048,-0.005932,8.525274,none
0.022804,0.000752,0.367749,0.018824,-0.002029,5.22319,0.009872,-0.000176,8.529104,none
0.021935,-0.000869,0.365834,0.017008,-0.001816,5.205952,0.008845,-0.001027,8.536766,none
0.024741,0.002806,0.375411,0.019429,0.002421,5.19446,0.008845,0,8.536766,none
0.025134,0.000393,0.377326,0.017063,-0.002366,5.204037,0.008452,-0.000393,8.53485,none
0.023813,-0.001321,0.369665,0.016799,-0.000264,5.207868,0.008452,0,8.53485,none
0.025959,0.002146,0.386903,0.016303,-0.000495,5.198291,0.00791,-0.000543,8.538681,none
0.029272,0.003313,0.400311,0.016182,-0.000121,5.196375,0.008159,0.000249,8.534851,none
0.028509,-0.000763,0.415633,0.015775,-0.000407,5.190629,0.008111,-0.000048,8.536766,none
0.030006,0.001497,0.438618,0.015302,-0.000473,5.184883,0.007763,-0.000349,8.538681,none
0.030446,0.00044,0.442448,0.015276,-0.000026,5.182968,0.007763,0,8.538681,none
0.019282,-0.011164,0.47501,0.010698,-0.004578,5.167645,0.006673,-0.00109,8.544427,none
0.019264,-0.000018,0.484586,0.010606,-0.000092,5.16573,0.006673,0,8.544427,none
0.014807,-0.004457,0.501825,0.010213,-0.000393,5.163814,0.006673,0,8.544427,none
0.012106,-0.0027,0.517148,0.00996,-0.000253,5.161899,0.006057,-0.000616,8.548258,none
0.006589,-0.005518,0.53247,0.008276,-0.001684,5.156153,0.005297,-0.000759,8.554004,none
0.006526,-0.000062,0.534386,0.007759,-0.000517,5.161899,0.005371,0.000073,8.550174,none
0.00591,-0.000616,0.542047,0.006086,-0.001673,5.173391,0.004197,-0.001174,8.534851,none
0.006075,0.000165,0.551624,0.004857,-0.001229,5.182968,0.002124,-0.002073,8.525274,none
0.006086,0.000011,0.55737,0.004857,0,5.182968,0.001981,-0.000143,8.523358,none
0.005723,-0.000363,0.574608,0.003151,-0.001706,5.173391,0.001981,0,8.523358,none
0.007084,0.001361,0.588016,0.003214,0.000062,5.175307,0.002113,0.000132,8.519528,none
0.009285,0.002201,0.599508,0.002917,-0.000297,5.181053,0.002876,0.000763,8.511866,none
0.012103,0.002817,0.611,0.001233,-0.001684,5.186799,0.002935,0.000059,8.504205,none
0.011486,-0.000616,0.618662,0.001244,0.000011,5.188714,0.002289,-0.000646,8.496543,none
0.009993,-0.001493,0.639731,0.002583,0.001339,5.179137,0.002682,0.000393,8.498459,none
0.010698,0.000704,0.647392,0.002829,0.000246,5.177222,0.002773,0.000092,8.500374,none
0.014216,0.003518,0.6608,0.002858,0.000029,5.173391,0.002788,0.000015,8.504205,none
0.017404,0.003188,0.681869,0.003122,0.000264,5.177222,0.002773,-0.000015,8.500374,none
0.019293,0.001889,0.691445,0.003815,0.000693,5.171476,0.002788,0.000015,8.504205,none
0.02032,0.001027,0.710599,0.005558,0.001743,5.161899,0.00336,0.000572,8.508036,none
0.022599,0.002278,0.727837,0.005591,0.000033,5.159984,0.00336,0,8.508036,none
0.022364,-0.000235,0.74316,0.005705,0.000114,5.161899,0.003375,0.000015,8.504205,none
0.023842,0.001478,0.76806,0.005323,-0.000382,5.158068,0.003375,0,8.504205,none
0.024987,0.001145,0.791044,0.005356,0.000033,5.152322,0.003375,0,8.504205,none
0.021553,-0.003434,0.814029,0.005264,-0.000092,5.142745,0.003592,0.000216,8.50612,none
0.018824,-0.002729,0.837013,0.005562,0.000297,5.136999,0.003654,0.000062,8.508036,none
0.016799,-0.002025,0.859997,0.005353,-0.000209,5.131253,0.003316,-0.000338,8.511866,none
0.014862,-0.001937,0.87532,0.00503,-0.000323,5.127422,0.003504,0.000187,8.513782,none
0.011461,-0.003401,0.892558,0.005151,0.000121,5.121676,0.003463,-0.00004,8.511866,none
0.010048,-0.001412,0.902135,0.00503,-0.000121,5.119761,0.00339,-0.000073,8.515697,none
0.010048,0,0.902135,0.005444,0.000415,5.121676,0.003287,-0.000103,8.519528,none
0.009553,-0.000495,0.907881,0.005444,0,5.121676,0.002418,-0.000869,8.525274,none
0.009333,-0.00022,0.911712,0.005763,0.000319,5.127422,0.001948,-0.00047,8.529105,none
0.006967,-0.002366,0.917458,0.006149,0.000385,5.129338,0.00226,0.000312,8.527189,none
