timestamp,meanLeft,meanRight,varS1,varS2,varS3,varS4,varS5,varS6,varS7,varS8,varS9,varS10,varS11,varS12,varS13,varS14,varS15,varS16
7236,1022,1022,0.98,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.98,0.6,0.6,0.6,0.6,0.6,0.6,0.6,
7256,1022,1022,0.98,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.98,0.6,0.6,0.6,0.6,0.6,0.6,0.6,
7276,1022,1022,0.98,1.0,1.0,1.0,1.0,1.0,1.0,0.6,1.0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,
7296,1022,1022,0.98,1.0,1.0,1.0,1.0,0.98,1.0,0.6,1.0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,
7317,1022,1022,0.98,1.0,1.0,1.0,1.0,0.96,1.0,0.6,1.0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,
7337,1022,1022,0.98,1.0,1.0,1.0,1.0,0.96,1.0,0.6,1.0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,
7357,1022,1022,0.98,1.0,1.0,1.0,1.0,0.96,0.98,0.6,1.0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,
7377,1022,1022,0.98,1.0,1.0,1.0,1.0,0.96,0.98,0.6,1.0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,
7397,1022,1022,0.98,1.0,1.0,1.0,1.0,0.96,0.98,0.6,1.0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,
7417,1022,1022,0.98,1.0,1.0,1.0,1.0,0.96,0.98,0.6,1.0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,
7437,1022,1022,0.98,1.0,1.0,1.0,1.0,0.96,0.98,0.58,1.0,0.58,0.58,0.58,0.58,0.58,0.58,0.58,
7457,1022,1022,0.98,0.98,1.0,1.0,1.0,0.96,0.98,0.6,1.0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,
7477,1022,1022,0.98,0.98,1.0,1.0,1.0,0.96,0.98,0.62,1.0,0.62,0.62,0.62,0.62,0.62,0.62,0.62,
7497,1022,1022,0.98,0.98,1.0,1.0,0.98,0.96,0.98,0.64,1.0,0.64,0.64,0.64,0.64,0.64,0.64,0.64,
7517,1022,1022,0.98,0.98,0.98,1.0,0.96,0.96,0.98,0.64,1.0,0.64,0.64,0.64,0.64,0.64,0.64,0.64,
7537,1022,1022,0.98,0.98,0.96,1.0,0.96,0.96,0.98,0.66,1.0,0.66,0.66,0.66,0.66,0.66,0.66,0.66,
7558,1022,1022,0.98,0.98,0.96,1.0,0.96,0.96,0.98,0.68,1.0,0.68,0.68,0.68,0.68,0.68,0.68,0.68,
7578,1022,1022,0.98,0.98,0.96,1.0,0.96,0.96,0.98,0.7,1.0,0.7,0.7,0.7,0.7,0.7,0.7,0.7,
7599,1022,1022,0.98,0.98,0.96,1.0,0.96,0.96,0.98,0.72,1.0,0.72,0.72,0.72,0.72,0.72,0.72,0.72,
7619,1022,1022,0.98,0.98,0.96,1.0,0.96,0.96,0.98,0.7,1.0,0.7,0.7,0.7,0.7,0.7,0.7,0.7,
7639,1022,1022,0.98,0.98,0.96,1.0,0.96,0.96,0.98,0.7,1.0,0.7,0.7,0.7,0.7,0.7,0.7,0.7,
7659,1022,1022,0.98,0.98,0.96,1.0,0.96,0.96,0.98,0.72,1.0,0.72,0.72,0.72,0.72,0.72,0.72,0.72,
7679,1022,1022,0.98,0.98,0.96,1.0,0.96,0.96,0.98,0.72,1.0,0.72,0.72,0.72,0.72,0.72,0.72,0.72,
7699,1022,1022,0.98,0.98,0.96,1.0,0.96,0.96,0.98,0.7,1.0,0.7,0.7,0.7,0.7,0.7,0.7,0.7,
7719,1022,1022,0.98,0.98,0.96,1.0,0.96,0.96,0.98,0.72,1.0,0.72,0.72,0.72,0.72,0.72,0.72,0.72,
7739,1022,1022,0.98,0.98,0.96,1.0,0.96,0.94,0.98,0.72,1.0,0.72,0.72,0.72,0.72,0.72,0.72,0.72,
7760,1022,1022,0.98,0.98,0.96,1.0,0.96,0.94,0.98,0.72,1.0,0.72,0.72,0.72,0.72,0.72,0.72,0.72,
7781,1022,1022,0.98,0.98,0.96,1.0,0.96,0.94,0.98,0.74,1.0,0.74,0.74,0.74,0.74,0.74,0.74,0.74,
7801,1022,1022,0.98,0.98,0.96,1.0,0.96,0.94,0.98,0.74,1.0,0.74,0.74,0.74,0.74,0.74,0.74,0.74,
7821,1022,1022,0.98,0.98,0.96,1.0,0.96,0.94,0.98,0.74,1.0,0.74,0.74,0.74,0.74,0.74,0.74,0.74,
7841,1022,1022,0.98,0.98,0.96,1.0,0.96,0.94,0.96,0.74,1.0,0.74,0.74,0.74,0.74,0.74,0.74,0.74,
7862,1022,1022,0.98,0.98,0.96,1.0,0.96,0.94,0.96,0.76,0.98,0.76,0.76,0.76,0.76,0.76,0.76,0.76,
7882,1022,1022,0.98,0.98,0.96,1.0,0.96,0.94,0.96,0.78,0.96,0.78,0.78,0.78,0.78,0.78,0.78,0.78,
7903,1022,1022,0.98,0.98,0.96,1.0,0.96,0.94,0.96,0.8,0.96,0.8,0.8,0.8,0.8,0.8,0.8,0.8,
