timestamp,meanLeft,meanRight,varS1,varS2,varS3,varS4,varS5,varS6,varS7,varS8,varS9,varS10,varS11,varS12,varS13,varS14,varS15,varS16
14675,1006,1022,289.0,288.34,288.34,289.0,287.68,289.0,12547.58,287.68,1.0,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
14695,1006,1022,289.0,288.34,288.34,289.0,287.68,289.0,12520.22,287.68,1.0,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
14715,1006,1022,289.0,288.34,288.34,289.0,287.68,289.0,12488.44,287.68,1.0,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
14735,1006,1022,289.0,288.34,288.34,289.0,287.02,289.0,12465.54,287.68,1.0,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
14755,1006,1022,289.0,288.34,288.34,289.0,287.02,289.0,12429.38,287.68,1.0,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
14775,1006,1022,289.0,288.34,288.34,289.0,287.02,289.0,12385.38,287.68,1.0,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
14795,1006,1022,289.0,288.34,288.34,289.0,287.02,289.0,12341.78,287.68,1.0,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
14815,1007,1022,256.0,255.38,255.38,256.0,254.76,256.0,12493.76,254.76,1.0,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
14835,1006,1022,289.0,288.34,288.34,289.0,285.44,289.0,12328.04,287.68,1.0,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
14857,1006,1022,289.0,288.34,288.34,289.0,283.04,289.0,12506.54,287.68,1.0,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
14878,1006,1022,289.0,288.34,288.34,289.0,351.68,289.0,12826.32,287.68,1.0,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
14899,1005,1022,324.0,323.3,323.3,324.0,485.16,324.0,13234.12,322.6,1.0,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
14919,1005,1021,324.0,323.3,323.3,324.0,655.4,324.0,14071.62,322.6,4.0,3.88,3.88,3.88,3.88,3.88,3.88,3.88,
14941,1004,1020,361.0,360.26,360.26,361.0,1134.54,360.26,14994.28,359.52,9.0,8.8,8.8,8.8,8.8,8.8,8.8,8.8,
14961,1003,1019,400.0,399.22,399.22,400.0,1830.48,398.44,16439.2,398.44,16.0,15.72,15.72,15.72,15.72,15.72,15.72,15.72,
14981,1002,1018,441.0,440.18,440.18,441.0,2490.12,439.36,17956.3,439.36,25.0,24.64,24.64,24.64,24.64,24.64,24.64,24.64,
15001,1001,1016,484.0,483.14,483.14,484.0,3311.78,482.28,19753.24,482.28,49.0,48.48,48.48,48.48,48.48,48.48,48.48,48.48,
