timestamp,meanLeft,meanRight,varS1,varS2,varS3,varS4,varS5,varS6,varS7,varS8,varS9,varS10,varS11,varS12,varS13,varS14,varS15,varS16
20259,1022,1022,0.94,1.0,0.98,0.92,0.96,0.98,0.86,0.98,0.96,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
20279,1022,1022,0.94,1.0,0.98,0.92,0.96,0.98,0.86,0.98,0.96,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
20299,1022,1022,0.94,1.0,0.98,0.9,0.96,0.98,0.86,0.98,0.96,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
20319,1022,1022,0.94,1.0,0.98,0.88,0.96,0.98,0.86,0.98,0.96,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
20339,1022,1022,0.94,1.0,0.98,0.88,0.96,0.98,0.86,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
20359,1022,1022,0.96,1.0,0.96,0.88,0.96,0.98,0.86,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
20379,1022,1022,0.98,1.0,0.96,0.88,0.96,0.98,0.86,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
20400,1022,1022,0.98,1.0,0.96,0.88,0.96,0.98,0.86,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
20420,1022,1022,0.98,1.0,0.96,0.88,0.96,0.98,0.86,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
20440,1022,1022,0.98,1.0,0.96,0.88,0.96,0.98,0.86,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
20460,1022,1022,0.98,1.0,0.96,0.88,0.96,0.98,0.86,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
20481,1022,1022,0.98,1.0,0.96,0.88,0.96,0.98,0.86,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
20501,1022,1022,0.98,1.0,0.96,0.88,0.96,0.98,0.86,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
20521,1022,1022,0.98,1.0,0.96,0.88,0.96,0.98,0.86,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
20541,1022,1022,0.98,1.0,0.96,0.9,0.96,0.98,0.86,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
20561,1022,1022,0.98,1.0,0.96,0.92,0.96,0.96,0.86,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
20581,1022,1022,0.98,1.0,0.96,0.92,0.98,0.96,0.86,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
20601,1022,1022,0.98,1.0,0.96,0.92,0.98,0.96,0.86,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
20622,1022,1022,0.98,1.0,0.96,0.92,0.98,0.96,0.86,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
20643,1022,1022,0.98,1.0,0.96,0.92,0.98,0.96,0.86,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
20664,1022,1022,0.98,1.0,0.96,0.92,0.98,0.96,0.86,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
20684,1022,1022,0.98,1.0,0.96,0.92,0.98,0.96,0.86,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
20704,1022,1022,0.98,1.0,0.96,0.92,0.98,0.96,0.86,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
20725,1022,1022,0.98,1.0,0.96,0.92,0.98,0.96,0.86,0.94,0.96,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
20746,1022,1022,0.98,1.0,0.96,0.92,0.98,0.96,0.86,0.94,0.96,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
20766,1022,1022,0.98,1.0,0.96,0.92,0.96,0.96,0.86,0.94,0.96,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
20786,1022,1022,0.98,1.0,0.96,0.92,0.94,0.96,0.86,0.94,0.98,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
20806,1022,1022,0.98,1.0,0.96,0.92,0.94,0.98,0.88,0.96,0.98,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
20826,1022,1022,0.98,1.0,0.96,0.92,0.94,0.98,0.88,0.96,0.98,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
20846,1022,1022,0.98,1.0,0.96,0.92,0.94,0.98,0.88,0.96,0.98,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
20867,1022,1022,0.98,1.0,0.96,0.92,0.94,0.98,0.88,0.96,0.98,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
20887,1022,1022,0.98,1.0,0.94,0.92,0.94,0.98,0.9,0.94,0.98,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
20908,1022,1022,0.98,1.0,0.94,0.92,0.94,0.96,0.92,0.94,0.98,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
20928,1022,1022,0.98,1.0,0.96,0.94,0.94,0.94,0.94,0.94,0.98,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
20948,1022,1022,0.98,1.0,0.96,0.96,0.94,0.94,0.94,0.94,0.98,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
20968,1022,1022,0.98,0.98,0.96,0.96,0.94,0.92,0.96,0.94,0.98,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
20989,1022,1022,0.98,0.98,0.96,0.96,0.94,0.92,0.94,0.94,0.98,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
21010,1022,1022,0.98,0.98,0.96,0.96,0.92,0.92,0.94,0.94,0.96,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
21032,1022,1022,0.98,0.98,0.96,0.96,0.9,0.92,0.94,0.94,0.96,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
21052,1022,1022,0.98,0.96,0.96,0.96,0.9,0.92,0.94,0.94,0.96,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
21073,1022,1022,0.98,0.96,0.96,0.96,0.9,0.92,0.92,0.94,0.96,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
21095,1022,1022,1.0,0.96,0.96,0.96,0.9,0.9,0.92,0.94,0.96,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
21117,1022,1022,1.0,0.96,0.96,0.96,0.9,0.9,0.92,0.94,0.96,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
21138,1022,1022,1.0,0.96,0.96,0.96,0.9,0.9,0.94,0.94,0.96,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
21159,1022,1022,1.0,0.96,0.96,0.96,0.9,0.88,0.94,0.94,0.98,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
21180,1022,1022,0.98,0.96,0.96,0.96,0.9,0.88,0.94,0.94,0.98,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
21202,1022,1022,0.98,0.96,0.94,0.96,0.9,0.88,0.94,0.94,0.98,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
21222,1022,1022,0.98,0.96,0.94,0.96,0.9,0.88,0.94,0.94,0.98,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
21242,1022,1022,0.98,0.96,0.94,0.96,0.9,0.88,0.94,0.94,0.98,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
21263,1022,1022,0.98,0.96,0.94,0.96,0.9,0.88,0.94,0.94,0.98,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
21283,1022,1022,0.98,0.96,0.92,0.96,0.9,0.88,0.94,0.94,0.98,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
21303,1022,1022,0.98,0.96,0.92,0.96,0.9,0.88,0.94,0.94,0.98,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
21323,1022,1022,0.98,0.96,0.92,0.98,0.9,0.88,0.94,0.94,0.98,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
21343,1022,1022,0.98,0.96,0.92,1.0,0.9,0.88,0.94,0.94,0.98,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
21363,1022,1022,0.98,0.96,0.92,1.0,0.9,0.88,0.94,0.96,0.98,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
21386,1022,1022,0.98,0.96,0.94,1.0,0.9,0.88,0.94,0.96,0.98,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
21406,1022,1022,0.98,0.96,0.94,1.0,0.9,0.88,0.94,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
21431,1022,1022,0.98,0.96,0.94,1.0,0.9,0.88,0.94,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
