t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,tap
8.42759,12.258312,11.032481,8.734048,7.0485296,6.2823853,6.2823853,6.6654577,8.197746,9.653421,10.572795,10.726024,10.266336,9.423578,8.734048,8.350976,8.274361,8.42759,8.734048,8.963891,9.270349,tap
9.040505,8.887277,9.80665,11.645397,10.419566,8.42759,6.588843,5.056554,4.8267107,5.439626,6.435614,8.121132,10.036493,11.18571,11.492168,11.032481,10.189722,9.423578,8.887277,8.580819,8.504205,tap
9.11712,8.963891,12.641385,12.717999,10.496181,7.8146744,5.899313,5.363012,5.746084,6.588843,8.580819,9.959879,10.802638,10.496181,9.730036,9.11712,8.42759,8.0445175,8.197746,8.6574335,9.11712,tap
9.040505,9.346964,9.270349,10.802638,10.113108,8.580819,7.0485296,5.66947,5.66947,6.588843,7.967903,9.500193,10.572795,10.726024,11.032481,10.649409,9.883265,9.346964,8.887277,8.580819,8.734048,tap
9.193734,9.11712,9.040505,8.734048,8.504205,14.5567465,14.326903,11.722012,8.274361,5.5162406,3.9073372,3.5242648,5.363012,8.0445175,10.419566,12.028469,12.334928,11.492168,9.959879,8.350976,7.201759,tap
9.193734,8.734048,7.967903,12.947843,13.484144,11.109096,8.42759,6.3589997,5.209783,5.209783,6.0525417,7.3549876,8.580819,9.576807,10.266336,10.572795,10.342952,10.036493,9.576807,9.11712,9.040505,tap
9.193734,8.350976,7.431602,12.411542,13.101071,10.802638,7.2783732,4.2904096,2.2218192,2.2218192,3.9839516,6.3589997,9.500193,12.334928,13.024457,12.411542,11.032481,9.270349,7.6614456,6.588843,6.205771,tap
9.270349,9.270349,9.270349,9.346964,9.346964,9.270349,9.270349,9.193734,9.270349,9.270349,9.346964,9.346964,9.346964,9.270349,9.270349,9.270349,9.270349,9.270349,9.193734,9.11712,9.11712,none
9.346964,9.270349,9.270349,9.270349,9.193734,9.11712,9.193734,9.270349,9.500193,9.500193,9.423578,9.193734,9.11712,9.193734,9.270349,9.346964,9.193734,8.350976,7.431602,12.411542,13.101071,none
9.270349,9.270349,9.270349,9.270349,9.193734,9.11712,9.193734,9.270349,9.346964,9.270349,9.193734,9.11712,9.040505,9.193734,9.270349,9.270349,9.346964,9.270349,9.193734,9.270349,9.346964,none
9.270349,9.270349,9.270349,9.346964,9.346964,9.270349,9.270349,9.270349,9.346964,9.423578,9.423578,9.346964,9.270349,9.11712,8.963891,8.963891,9.040505,9.11712,9.270349,9.423578,9.346964,none
9.270349,9.270349,9.270349,9.193734,9.193734,9.270349,9.270349,9.270349,9.193734,9.270349,9.346964,9.193734,9.11712,9.11712,9.193734,9.270349,9.500193,9.730036,9.653421,9.576807,9.423578,none
9.346964,9.270349,9.270349,9.270349,9.270349,9.270349,9.270349,9.193734,9.193734,9.270349,9.346964,9.270349,9.270349,9.346964,9.270349,9.193734,9.193734,9.270349,9.193734,9.270349,9.346964,none
